policy,kshape,ls,amp,weeks,gain
exploit,iso,0.4,2.0,1,0.0
maximin,iso,0.4,2.0,1,0.0
random,iso,0.4,2.0,1,0.0
observable_EI,iso,0.4,2.0,1,0.0002464314534940925
P_beat,iso,0.4,2.0,1,0.0
LCB,iso,0.4,2.0,1,0.0002004960210228411
latent_EI,iso,0.4,2.0,1,0.00019944998210014443
thompson,iso,0.4,2.0,1,0.0
exploit,iso,0.4,2.0,1,0.0
maximin,iso,0.4,2.0,1,0.0002426769218026144
random,iso,0.4,2.0,1,0.0
observable_EI,iso,0.8,0.5,1,0.0
P_beat,iso,0.8,0.5,1,0.0
LCB,iso,0.8,0.5,1,0.0
latent_EI,iso,0.8,0.5,1,0.0
thompson,iso,0.8,0.5,1,0.0
exploit,iso,0.8,0.5,1,0.0
maximin,iso,0.8,0.5,1,0.0
random,iso,0.8,0.5,1,0.0
observable_EI,iso,0.8,0.5,1,0.0
P_beat,iso,0.8,0.5,1,0.0
LCB,iso,0.8,0.5,1,0.0
latent_EI,iso,0.8,0.5,1,0.0
thompson,iso,0.8,0.5,1,0.0
exploit,iso,0.8,0.5,1,0.0
maximin,iso,0.8,0.5,1,0.0
random,iso,0.8,0.5,1,0.0
observable_EI,iso,0.8,0.5,1,0.0
P_beat,iso,0.8,0.5,1,0.0
LCB,iso,0.8,0.5,1,0.0
latent_EI,iso,0.8,0.5,1,0.0
thompson,iso,0.8,0.5,1,0.0
exploit,iso,0.8,0.5,1,0.0
maximin,iso,0.8,0.5,1,0.0003385635410477123
random,iso,0.8,0.5,1,0.0
observable_EI,iso,0.8,1.0,1,0.0
P_beat,iso,0.8,1.0,1,0.0
LCB,iso,0.8,1.0,1,0.0
latent_EI,iso,0.8,1.0,1,0.0
thompson,iso,0.8,1.0,1,0.0
exploit,iso,0.8,1.0,1,0.0
maximin,iso,0.8,1.0,1,0.0
random,iso,0.8,1.0,1,0.0
observable_EI,iso,0.8,1.0,1,0.0
P_beat,iso,0.8,1.0,1,0.0
LCB,iso,0.8,1.0,1,0.0
latent_EI,iso,0.8,1.0,1,0.0
thompson,iso,0.8,1.0,1,0.0
exploit,iso,0.8,1.0,1,0.0
maximin,iso,0.8,1.0,1,0.0
random,iso,0.8,1.0,1,0.0
observable_EI,iso,0.8,1.0,1,0.0
P_beat,iso,0.8,1.0,1,0.0
LCB,iso,0.8,1.0,1,0.0
latent_EI,iso,0.8,1.0,1,0.0
thompson,iso,0.8,1.0,1,0.0
exploit,iso,0.8,1.0,1,0.0
maximin,iso,0.8,1.0,1,0.0
random,iso,0.8,1.0,1,0.0
observable_EI,iso,0.8,2.0,1,0.00027528365703781605
P_beat,iso,0.8,2.0,1,0.00025722144249285884
LCB,iso,0.8,2.0,1,0.0002365541700111145
latent_EI,iso,0.8,2.0,1,0.00021090847698689355
thompson,iso,0.8,2.0,1,0.0
exploit,iso,0.8,2.0,1,0.0
maximin,iso,0.8,2.0,1,7.082284846907956e-05
random,iso,0.8,2.0,1,0.0
observable_EI,iso,0.8,2.0,1,0.0
P_beat,iso,0.8,2.0,1,0.0
LCB,iso,0.8,2.0,1,0.0
latent_EI,iso,0.8,2.0,1,0.0
thompson,iso,0.8,2.0,1,0.0
exploit,iso,0.8,2.0,1,0.0
maximin,iso,0.8,2.0,1,0.0
random,iso,0.8,2.0,1,0.0
observable_EI,iso,0.8,2.0,1,0.0
P_beat,iso,0.8,2.0,1,0.0
LCB,iso,0.8,2.0,1,0.0
latent_EI,iso,0.8,2.0,1,0.0
thompson,iso,0.8,2.0,1,0.0
exploit,iso,0.8,2.0,1,0.00021849650727378324
maximin,iso,0.8,2.0,1,0.0
random,iso,0.8,2.0,1,0.0
observable_EI,ard,0.1,0.5,1,0.0
P_beat,ard,0.1,0.5,1,0.0
LCB,ard,0.1,0.5,1,0.0
latent_EI,ard,0.1,0.5,1,0.0
thompson,ard,0.1,0.5,1,0.0
exploit,ard,0.1,0.5,1,0.0
maximin,ard,0.1,0.5,1,0.0
